Using cpu device
Wrapping the env in a DummyVecEnv.
Logging to experiments/RL/course_project/runs/ppo_imitation_bugfix_1_5M/tensorboard/ppo/PPO_1
---------------------------------
| rollout/           |          |
|    fps                  | 1143        |
|    iterations           | 312         |
|    time_elapsed         | 558         |
|    total_timesteps      | 638976      |
| train/                  |             |
|    approx_kl            | 0.029136902 |
|    clip_fraction        | 0.355       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.3       |
|    explained_variance   | 0.8493693   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.064      |
|    n_updates            | 3110        |
|    policy_gradient_loss | -0.0388     |
|    std                  | 0.723       |
|    value_loss           | 0.0194      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.2e+03     |
|    ep_rew_mean          | 457         |
| time/                   |             |
|    fps                  | 1141        |
|    iterations           | 313         |
|    time_elapsed         | 561         |
|    total_timesteps      | 641024      |
| train/                  |             |
|    approx_kl            | 0.029541053 |
|    clip_fraction        | 0.34        |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.3       |
|    explained_variance   | 0.037034035 |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0453     |
|    n_updates            | 3120        |
|    policy_gradient_loss | -0.0376     |
|    std                  | 0.723       |
|    value_loss           | 0.0119      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.2e+03    |
|    ep_rew_mean          | 457        |
| time/                   |            |
|    fps                  | 1140       |
|    iterations           | 314        |
|    time_elapsed         | 563        |
|    total_timesteps      | 643072     |
| train/                  |            |
|    approx_kl            | 0.03774636 |
|    clip_fraction        | 0.367      |
|    clip_range           | 0.2        |
|    entropy_loss         | -16.3      |
|    explained_variance   | 0.78549814 |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0536    |
|    n_updates            | 3130       |
|    policy_gradient_loss | -0.0436    |
|    std                  | 0.72       |
|    value_loss           | 0.0086     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.45e+03    |
|    ep_rew_mean          | 513         |
| time/                   |             |
|    fps                  | 1140        |
|    iterations           | 315         |
|    time_elapsed         | 565         |
|    total_timesteps      | 645120      |
| train/                  |             |
|    approx_kl            | 0.031006042 |
|    clip_fraction        | 0.333       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.2       |
|    explained_variance   | 0.6528771   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0222     |
|    n_updates            | 3140        |
|    policy_gradient_loss | -0.0378     |
|    std                  | 0.721       |
|    value_loss           | 0.0112      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.45e+03    |
|    ep_rew_mean          | 513         |
| time/                   |             |
|    fps                  | 1140        |
|    iterations           | 316         |
|    time_elapsed         | 567         |
|    total_timesteps      | 647168      |
| train/                  |             |
|    approx_kl            | 0.027143046 |
|    clip_fraction        | 0.32        |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.3       |
|    explained_variance   | 0.861009    |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0168     |
|    n_updates            | 3150        |
|    policy_gradient_loss | -0.0272     |
|    std                  | 0.722       |
|    value_loss           | 0.117       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.49e+03   |
|    ep_rew_mean          | 522        |
| time/                   |            |
|    fps                  | 1139       |
|    iterations           | 317        |
|    time_elapsed         | 569        |
|    total_timesteps      | 649216     |
| train/                  |            |
|    approx_kl            | 0.0342891  |
|    clip_fraction        | 0.37       |
|    clip_range           | 0.2        |
|    entropy_loss         | -16.3      |
|    explained_variance   | -0.2606492 |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0451    |
|    n_updates            | 3160       |
|    policy_gradient_loss | -0.0396    |
|    std                  | 0.722      |
|    value_loss           | 0.0161     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.48e+03    |
|    ep_rew_mean          | 521         |
| time/                   |             |
|    fps                  | 1138        |
|    iterations           | 318         |
|    time_elapsed         | 571         |
|    total_timesteps      | 651264      |
| train/                  |             |
|    approx_kl            | 0.029345632 |
|    clip_fraction        | 0.341       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.3       |
|    explained_variance   | 0.89951617  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0188     |
|    n_updates            | 3170        |
|    policy_gradient_loss | -0.0324     |
|    std                  | 0.722       |
|    value_loss           | 0.247       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.45e+03    |
|    ep_rew_mean          | 513         |
| time/                   |             |
|    fps                  | 1138        |
|    iterations           | 319         |
|    time_elapsed         | 574         |
|    total_timesteps      | 653312      |
| train/                  |             |
|    approx_kl            | 0.025331728 |
|    clip_fraction        | 0.288       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.3       |
|    explained_variance   | 0.9221053   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.083       |
|    n_updates            | 3180        |
|    policy_gradient_loss | -0.0302     |
|    std                  | 0.721       |
|    value_loss           | 0.526       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.44e+03   |
|    ep_rew_mean          | 511        |
| time/                   |            |
|    fps                  | 1138       |
|    iterations           | 320        |
|    time_elapsed         | 575        |
|    total_timesteps      | 655360     |
| train/                  |            |
|    approx_kl            | 0.03129098 |
|    clip_fraction        | 0.308      |
|    clip_range           | 0.2        |
|    entropy_loss         | -16.3      |
|    explained_variance   | 0.942447   |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0735     |
|    n_updates            | 3190       |
|    policy_gradient_loss | -0.0334    |
|    std                  | 0.72       |
|    value_loss           | 0.681      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.4e+03     |
|    ep_rew_mean          | 502         |
| time/                   |             |
|    fps                  | 1137        |
|    iterations           | 321         |
|    time_elapsed         | 577         |
|    total_timesteps      | 657408      |
| train/                  |             |
|    approx_kl            | 0.030420734 |
|    clip_fraction        | 0.328       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.2       |
|    explained_variance   | 0.9289264   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0697      |
|    n_updates            | 3200        |
|    policy_gradient_loss | -0.0296     |
|    std                  | 0.719       |
|    value_loss           | 0.833       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.4e+03     |
|    ep_rew_mean          | 502         |
| time/                   |             |
|    fps                  | 1137        |
|    iterations           | 322         |
|    time_elapsed         | 579         |
|    total_timesteps      | 659456      |
| train/                  |             |
|    approx_kl            | 0.037571155 |
|    clip_fraction        | 0.381       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.2       |
|    explained_variance   | 0.95512843  |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00593     |
|    n_updates            | 3210        |
|    policy_gradient_loss | -0.0298     |
|    std                  | 0.717       |
|    value_loss           | 0.215       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.4e+03    |
|    ep_rew_mean          | 503        |
| time/                   |            |
|    fps                  | 1137       |
|    iterations           | 323        |
|    time_elapsed         | 581        |
|    total_timesteps      | 661504     |
| train/                  |            |
|    approx_kl            | 0.03002851 |
|    clip_fraction        | 0.33       |
|    clip_range           | 0.2        |
|    entropy_loss         | -16.2      |
|    explained_variance   | 0.94695574 |
|    learning_rate        | 0.0003     |
|    loss                 | 0.285      |
|    n_updates            | 3220       |
|    policy_gradient_loss | -0.0315    |
|    std                  | 0.717      |
|    value_loss           | 0.841      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.4e+03     |
|    ep_rew_mean          | 503         |
| time/                   |             |
|    fps                  | 1137        |
|    iterations           | 324         |
|    time_elapsed         | 583         |
|    total_timesteps      | 663552      |
| train/                  |             |
|    approx_kl            | 0.034416623 |
|    clip_fraction        | 0.37        |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.2       |
|    explained_variance   | 0.9411498   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.491       |
|    n_updates            | 3230        |
|    policy_gradient_loss | -0.0356     |
|    std                  | 0.717       |
|    value_loss           | 0.667       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.41e+03    |
|    ep_rew_mean          | 504         |
| time/                   |             |
|    fps                  | 1137        |
|    iterations           | 325         |
|    time_elapsed         | 585         |
|    total_timesteps      | 665600      |
| train/                  |             |
|    approx_kl            | 0.029027153 |
|    clip_fraction        | 0.337       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.2       |
|    explained_variance   | 0.9528579   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.578       |
|    n_updates            | 3240        |
|    policy_gradient_loss | -0.0333     |
|    std                  | 0.718       |
|    value_loss           | 1.19        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 2.41e+03  |
|    ep_rew_mean          | 505       |
| time/                   |           |
|    fps                  | 1137      |
|    iterations           | 326       |
|    time_elapsed         | 586       |
|    total_timesteps      | 667648    |
| train/                  |           |
|    approx_kl            | 0.0430573 |
|    clip_fraction        | 0.381     |
|    clip_range           | 0.2       |
|    entropy_loss         | -16.2     |
|    explained_variance   | 0.9435669 |
|    learning_rate        | 0.0003    |
|    loss                 | 0.16      |
|    n_updates            | 3250      |
|    policy_gradient_loss | -0.0313   |
|    std                  | 0.718     |
|    value_loss           | 0.555     |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.42e+03   |
|    ep_rew_mean          | 507        |
| time/                   |            |
|    fps                  | 1137       |
|    iterations           | 327        |
|    time_elapsed         | 588        |
|    total_timesteps      | 669696     |
| train/                  |            |
|    approx_kl            | 0.03505674 |
|    clip_fraction        | 0.356      |
|    clip_range           | 0.2        |
|    entropy_loss         | -16.2      |
|    explained_variance   | 0.9600451  |
|    learning_rate        | 0.0003     |
|    loss                 | 0.258      |
|    n_updates            | 3260       |
|    policy_gradient_loss | -0.0324    |
|    std                  | 0.717      |
|    value_loss           | 0.81       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.41e+03    |
|    ep_rew_mean          | 507         |
| time/                   |             |
|    fps                  | 1137        |
|    iterations           | 328         |
|    time_elapsed         | 590         |
|    total_timesteps      | 671744      |
| train/                  |             |
|    approx_kl            | 0.031101312 |
|    clip_fraction        | 0.357       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.2       |
|    explained_variance   | 0.96286386  |
|    learning_rate        | 0.0003      |
|    loss                 | 0.239       |
|    n_updates            | 3270        |
|    policy_gradient_loss | -0.0303     |
|    std                  | 0.718       |
|    value_loss           | 0.515       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.42e+03    |
|    ep_rew_mean          | 509         |
| time/                   |             |
|    fps                  | 1137        |
|    iterations           | 329         |
|    time_elapsed         | 592         |
|    total_timesteps      | 673792      |
| train/                  |             |
|    approx_kl            | 0.035647273 |
|    clip_fraction        | 0.381       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.2       |
|    explained_variance   | 0.9599256   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0644      |
|    n_updates            | 3280        |
|    policy_gradient_loss | -0.0329     |
|    std                  | 0.715       |
|    value_loss           | 0.484       |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 2.41e+03  |
|    ep_rew_mean          | 507       |
| time/                   |           |
|    fps                  | 1136      |
|    iterations           | 330       |
|    time_elapsed         | 594       |
|    total_timesteps      | 675840    |
| train/                  |           |
|    approx_kl            | 0.0371157 |
|    clip_fraction        | 0.395     |
|    clip_range           | 0.2       |
|    entropy_loss         | -16.1     |
|    explained_variance   | 0.9720108 |
|    learning_rate        | 0.0003    |
|    loss                 | 0.0465    |
|    n_updates            | 3290      |
|    policy_gradient_loss | -0.0253   |
|    std                  | 0.716     |
|    value_loss           | 0.264     |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.4e+03     |
|    ep_rew_mean          | 505         |
| time/                   |             |
|    fps                  | 1136        |
|    iterations           | 331         |
|    time_elapsed         | 596         |
|    total_timesteps      | 677888      |
| train/                  |             |
|    approx_kl            | 0.028978603 |
|    clip_fraction        | 0.318       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.2       |
|    explained_variance   | 0.932318    |
|    learning_rate        | 0.0003      |
|    loss                 | 0.251       |
|    n_updates            | 3300        |
|    policy_gradient_loss | -0.0297     |
|    std                  | 0.717       |
|    value_loss           | 1.85        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.41e+03    |
|    ep_rew_mean          | 509         |
| time/                   |             |
|    fps                  | 1135        |
|    iterations           | 332         |
|    time_elapsed         | 599         |
|    total_timesteps      | 679936      |
| train/                  |             |
|    approx_kl            | 0.034971356 |
|    clip_fraction        | 0.401       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.2       |
|    explained_variance   | 0.9542023   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.262       |
|    n_updates            | 3310        |
|    policy_gradient_loss | -0.0355     |
|    std                  | 0.717       |
|    value_loss           | 0.793       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.4e+03    |
|    ep_rew_mean          | 506        |
| time/                   |            |
|    fps                  | 1134       |
|    iterations           | 333        |
|    time_elapsed         | 601        |
|    total_timesteps      | 681984     |
| train/                  |            |
|    approx_kl            | 0.03862116 |
|    clip_fraction        | 0.399      |
|    clip_range           | 0.2        |
|    entropy_loss         | -16.2      |
|    explained_variance   | 0.9620556  |
|    learning_rate        | 0.0003     |
|    loss                 | 0.283      |
|    n_updates            | 3320       |
|    policy_gradient_loss | -0.0321    |
|    std                  | 0.716      |
|    value_loss           | 0.874      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.39e+03   |
|    ep_rew_mean          | 504        |
| time/                   |            |
|    fps                  | 1133       |
|    iterations           | 334        |
|    time_elapsed         | 603        |
|    total_timesteps      | 684032     |
| train/                  |            |
|    approx_kl            | 0.03399738 |
|    clip_fraction        | 0.383      |
|    clip_range           | 0.2        |
|    entropy_loss         | -16.1      |
|    explained_variance   | 0.9619873  |
|    learning_rate        | 0.0003     |
|    loss                 | 0.137      |
|    n_updates            | 3330       |
|    policy_gradient_loss | -0.0328    |
|    std                  | 0.715      |
|    value_loss           | 0.828      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.37e+03    |
|    ep_rew_mean          | 500         |
| time/                   |             |
|    fps                  | 1133        |
|    iterations           | 335         |
|    time_elapsed         | 605         |
|    total_timesteps      | 686080      |
| train/                  |             |
|    approx_kl            | 0.033737756 |
|    clip_fraction        | 0.379       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.1       |
|    explained_variance   | 0.9568319   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.314       |
|    n_updates            | 3340        |
|    policy_gradient_loss | -0.0308     |
|    std                  | 0.714       |
|    value_loss           | 1.01        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.36e+03    |
|    ep_rew_mean          | 500         |
| time/                   |             |
|    fps                  | 1132        |
|    iterations           | 336         |
|    time_elapsed         | 607         |
|    total_timesteps      | 688128      |
| train/                  |             |
|    approx_kl            | 0.033238802 |
|    clip_fraction        | 0.405       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.1       |
|    explained_variance   | 0.9692805   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.102       |
|    n_updates            | 3350        |
|    policy_gradient_loss | -0.0306     |
|    std                  | 0.709       |
|    value_loss           | 0.423       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.35e+03   |
|    ep_rew_mean          | 498        |
| time/                   |            |
|    fps                  | 1132       |
|    iterations           | 337        |
|    time_elapsed         | 609        |
|    total_timesteps      | 690176     |
| train/                  |            |
|    approx_kl            | 0.03941624 |
|    clip_fraction        | 0.404      |
|    clip_range           | 0.2        |
|    entropy_loss         | -16        |
|    explained_variance   | 0.9695853  |
|    learning_rate        | 0.0003     |
|    loss                 | 0.083      |
|    n_updates            | 3360       |
|    policy_gradient_loss | -0.0331    |
|    std                  | 0.707      |
|    value_loss           | 0.471      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.34e+03    |
|    ep_rew_mean          | 499         |
| time/                   |             |
|    fps                  | 1131        |
|    iterations           | 338         |
|    time_elapsed         | 611         |
|    total_timesteps      | 692224      |
| train/                  |             |
|    approx_kl            | 0.035419486 |
|    clip_fraction        | 0.398       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16         |
|    explained_variance   | 0.9610555   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.377       |
|    n_updates            | 3370        |
|    policy_gradient_loss | -0.0395     |
|    std                  | 0.706       |
|    value_loss           | 0.839       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.35e+03    |
|    ep_rew_mean          | 501         |
| time/                   |             |
|    fps                  | 1131        |
|    iterations           | 339         |
|    time_elapsed         | 613         |
|    total_timesteps      | 694272      |
| train/                  |             |
|    approx_kl            | 0.045191444 |
|    clip_fraction        | 0.407       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.9       |
|    explained_variance   | 0.90599847  |
|    learning_rate        | 0.0003      |
|    loss                 | 0.496       |
|    n_updates            | 3380        |
|    policy_gradient_loss | -0.0327     |
|    std                  | 0.703       |
|    value_loss           | 0.657       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.35e+03   |
|    ep_rew_mean          | 503        |
| time/                   |            |
|    fps                  | 1131       |
|    iterations           | 340        |
|    time_elapsed         | 615        |
|    total_timesteps      | 696320     |
| train/                  |            |
|    approx_kl            | 0.03521861 |
|    clip_fraction        | 0.384      |
|    clip_range           | 0.2        |
|    entropy_loss         | -15.9      |
|    explained_variance   | 0.9625035  |
|    learning_rate        | 0.0003     |
|    loss                 | 0.105      |
|    n_updates            | 3390       |
|    policy_gradient_loss | -0.0318    |
|    std                  | 0.703      |
|    value_loss           | 0.598      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.35e+03   |
|    ep_rew_mean          | 503        |
| time/                   |            |
|    fps                  | 1130       |
|    iterations           | 341        |
|    time_elapsed         | 617        |
|    total_timesteps      | 698368     |
| train/                  |            |
|    approx_kl            | 0.03577777 |
|    clip_fraction        | 0.384      |
|    clip_range           | 0.2        |
|    entropy_loss         | -15.9      |
|    explained_variance   | 0.95959383 |
|    learning_rate        | 0.0003     |
|    loss                 | 0.214      |
|    n_updates            | 3400       |
|    policy_gradient_loss | -0.0322    |
|    std                  | 0.705      |
|    value_loss           | 0.664      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.37e+03    |
|    ep_rew_mean          | 508         |
| time/                   |             |
|    fps                  | 1129        |
|    iterations           | 342         |
|    time_elapsed         | 619         |
|    total_timesteps      | 700416      |
| train/                  |             |
|    approx_kl            | 0.044785112 |
|    clip_fraction        | 0.407       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.9       |
|    explained_variance   | -1.1726279  |
|    learning_rate        | 0.0003      |
|    loss                 | 0.121       |
|    n_updates            | 3410        |
|    policy_gradient_loss | -0.0272     |
|    std                  | 0.704       |
|    value_loss           | 0.221       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.38e+03   |
|    ep_rew_mean          | 511        |
| time/                   |            |
|    fps                  | 1129       |
|    iterations           | 343        |
|    time_elapsed         | 621        |
|    total_timesteps      | 702464     |
| train/                  |            |
|    approx_kl            | 0.03489128 |
|    clip_fraction        | 0.406      |
|    clip_range           | 0.2        |
|    entropy_loss         | -15.9      |
|    explained_variance   | 0.9581137  |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0165     |
|    n_updates            | 3420       |
|    policy_gradient_loss | -0.0273    |
|    std                  | 0.704      |
|    value_loss           | 0.148      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.39e+03    |
|    ep_rew_mean          | 514         |
| time/                   |             |
|    fps                  | 1129        |
|    iterations           | 344         |
|    time_elapsed         | 623         |
|    total_timesteps      | 704512      |
| train/                  |             |
|    approx_kl            | 0.034314588 |
|    clip_fraction        | 0.372       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.9       |
|    explained_variance   | 0.95983964  |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0468      |
|    n_updates            | 3430        |
|    policy_gradient_loss | -0.0266     |
|    std                  | 0.703       |
|    value_loss           | 0.308       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.39e+03    |
|    ep_rew_mean          | 514         |
| time/                   |             |
|    fps                  | 1129        |
|    iterations           | 345         |
|    time_elapsed         | 625         |
|    total_timesteps      | 706560      |
| train/                  |             |
|    approx_kl            | 0.036294542 |
|    clip_fraction        | 0.391       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.8       |
|    explained_variance   | 0.9692935   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0322     |
|    n_updates            | 3440        |
|    policy_gradient_loss | -0.0276     |
|    std                  | 0.702       |
|    value_loss           | 0.152       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.42e+03    |
|    ep_rew_mean          | 521         |
| time/                   |             |
|    fps                  | 1128        |
|    iterations           | 346         |
|    time_elapsed         | 627         |
|    total_timesteps      | 708608      |
| train/                  |             |
|    approx_kl            | 0.038980044 |
|    clip_fraction        | 0.4         |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.8       |
|    explained_variance   | 0.16708136  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0331     |
|    n_updates            | 3450        |
|    policy_gradient_loss | -0.0295     |
|    std                  | 0.7         |
|    value_loss           | 0.0511      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.44e+03    |
|    ep_rew_mean          | 527         |
| time/                   |             |
|    fps                  | 1128        |
|    iterations           | 347         |
|    time_elapsed         | 629         |
|    total_timesteps      | 710656      |
| train/                  |             |
|    approx_kl            | 0.035505854 |
|    clip_fraction        | 0.362       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.8       |
|    explained_variance   | 0.95713043  |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00496     |
|    n_updates            | 3460        |
|    policy_gradient_loss | -0.0272     |
|    std                  | 0.7         |
|    value_loss           | 0.198       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.45e+03   |
|    ep_rew_mean          | 528        |
| time/                   |            |
|    fps                  | 1128       |
|    iterations           | 348        |
|    time_elapsed         | 631        |
|    total_timesteps      | 712704     |
| train/                  |            |
|    approx_kl            | 0.03780298 |
|    clip_fraction        | 0.373      |
|    clip_range           | 0.2        |
|    entropy_loss         | -15.8      |
|    explained_variance   | 0.9617775  |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0185     |
|    n_updates            | 3470       |
|    policy_gradient_loss | -0.0294    |
|    std                  | 0.697      |
|    value_loss           | 0.237      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.46e+03    |
|    ep_rew_mean          | 530         |
| time/                   |             |
|    fps                  | 1128        |
|    iterations           | 349         |
|    time_elapsed         | 633         |
|    total_timesteps      | 714752      |
| train/                  |             |
|    approx_kl            | 0.034626786 |
|    clip_fraction        | 0.383       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.7       |
|    explained_variance   | 0.96776396  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0333     |
|    n_updates            | 3480        |
|    policy_gradient_loss | -0.0332     |
|    std                  | 0.696       |
|    value_loss           | 0.169       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.46e+03    |
|    ep_rew_mean          | 530         |
| time/                   |             |
|    fps                  | 1129        |
|    iterations           | 350         |
|    time_elapsed         | 634         |
|    total_timesteps      | 716800      |
| train/                  |             |
|    approx_kl            | 0.031992733 |
|    clip_fraction        | 0.38        |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.7       |
|    explained_variance   | 0.9718903   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0344      |
|    n_updates            | 3490        |
|    policy_gradient_loss | -0.0325     |
|    std                  | 0.695       |
|    value_loss           | 0.236       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.46e+03   |
|    ep_rew_mean          | 532        |
| time/                   |            |
|    fps                  | 1129       |
|    iterations           | 351        |
|    time_elapsed         | 636        |
|    total_timesteps      | 718848     |
| train/                  |            |
|    approx_kl            | 0.04424353 |
|    clip_fraction        | 0.425      |
|    clip_range           | 0.2        |
|    entropy_loss         | -15.7      |
|    explained_variance   | 0.28322905 |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0497    |
|    n_updates            | 3500       |
|    policy_gradient_loss | -0.0419    |
|    std                  | 0.695      |
|    value_loss           | 0.0154     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.46e+03    |
|    ep_rew_mean          | 532         |
| time/                   |             |
|    fps                  | 1129        |
|    iterations           | 352         |
|    time_elapsed         | 638         |
|    total_timesteps      | 720896      |
| train/                  |             |
|    approx_kl            | 0.037748426 |
|    clip_fraction        | 0.39        |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.7       |
|    explained_variance   | 0.96058595  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.01       |
|    n_updates            | 3510        |
|    policy_gradient_loss | -0.0293     |
|    std                  | 0.694       |
|    value_loss           | 0.205       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.46e+03    |
|    ep_rew_mean          | 532         |
| time/                   |             |
|    fps                  | 1130        |
|    iterations           | 353         |
|    time_elapsed         | 639         |
|    total_timesteps      | 722944      |
| train/                  |             |
|    approx_kl            | 0.037527822 |
|    clip_fraction        | 0.394       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.7       |
|    explained_variance   | 0.5432085   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0486     |
|    n_updates            | 3520        |
|    policy_gradient_loss | -0.0423     |
|    std                  | 0.695       |
|    value_loss           | 0.0107      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.46e+03    |
|    ep_rew_mean          | 532         |
| time/                   |             |
|    fps                  | 1130        |
|    iterations           | 354         |
|    time_elapsed         | 641         |
|    total_timesteps      | 724992      |
| train/                  |             |
|    approx_kl            | 0.031194525 |
|    clip_fraction        | 0.368       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.7       |
|    explained_variance   | 0.682806    |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0691     |
|    n_updates            | 3530        |
|    policy_gradient_loss | -0.0342     |
|    std                  | 0.695       |
|    value_loss           | 0.00954     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.46e+03    |
|    ep_rew_mean          | 532         |
| time/                   |             |
|    fps                  | 1131        |
|    iterations           | 355         |
|    time_elapsed         | 642         |
|    total_timesteps      | 727040      |
| train/                  |             |
|    approx_kl            | 0.030538987 |
|    clip_fraction        | 0.37        |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.7       |
|    explained_variance   | 0.48481125  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0295     |
|    n_updates            | 3540        |
|    policy_gradient_loss | -0.0371     |
|    std                  | 0.695       |
